Timestamp,Time Shift (s),Point 0 x [m],Point 0 y [m],Point 1 x [m],Point 1 y [m],Point 2 x [m],Point 2 y [m],Point 3 y [m],Walking Speed [m/s],Step width [m],Step frequency [Hz],Weight [N],Reverse Direction,Cost Function Value,Normalized Cost Func
2019-04-25T231617-256Z,4.82,0.271301,1.892175,3.39964,1.376624,10.451674,0.891753,1.729006,1.499127,-0.21662,1.908181,2949.813416,0,0.000127421,4.32E-08
2019-04-26T205748-616Z-sp,1.55,0.276802,1.742429,3.104357,1.901542,14.150821,1.650082,1.8,1.446847,0.032723,1.805766,4422.083939,0,0.00030703,6.94E-08
2019-04-27T003059-587Z,1.39,0.286948,1.779948,2.188998,1.033321,13.980107,1.280184,1.8,1.334217,0.194822,1.927095,2710.806664,1,0.00013032,4.81E-08
2019-04-25T231224-780Z,6.9,0.29262,1.78241,1.682822,1.087309,13.590752,1.804228,1.8,1.450964,0.197882,2.005251,2732.10465,1,0.000127377,4.66E-08
2019-04-25T180838-688Z,5.14,0.309708,1.680241,5.102204,1.791593,15.792448,1.192914,1.69669,1.429828,-0.027391,1.868495,3997.328522,0,0.000217471,5.44E-08
2019-04-26T213137-581Z-sp,8.88,0.312121,1.685524,8.154161,1.149753,15.584741,1.633264,1.8,1.437575,0.100746,1.767937,3975.238496,1,0.000229235,5.77E-08
2019-04-25T181154-300Z,5.1,0.320261,1.787863,2.850249,1.274638,15.206651,0.988664,1.785339,1.330257,-0.147573,1.908975,3384.275979,0,0.000183847,5.43E-08
2019-04-25T150743-510Z,7.77,0.336302,1.778075,1.862444,1.025481,14.021996,1.845983,1.8,1.647033,-0.115716,2.138288,3283.433497,1,0.000169011,5.15E-08
2019-04-25T164338-741Z,6.18,0.336754,1.551526,5.732844,0.548458,14.520342,1.492562,1.8,1.391411,0.018668,1.778197,3036.791986,1,0.000147464,4.86E-08
2019-04-24T201032-604Z,3.71,0.336778,1.785101,2.008183,1.391001,14.592328,0.96189,1.647621,1.390573,0.211842,1.829035,4309.2109,0,0.000198409,4.60E-08
2019-04-24T222645-550Z,4.88,0.337825,1.821353,3.495252,1.070838,15.091267,1.11533,1.799994,1.447762,-0.037831,1.838958,4736.571231,0,0.000228531,4.82E-08
2019-04-24T223719-405Z,4.45,0.373114,1.755782,2.496772,1.513037,14.102383,1.659307,1.8,1.440251,-0.215721,1.807827,4108.820379,0,0.000206486,5.03E-08
2019-04-26T201312-518Z,6.47,0.378884,1.793691,1.759855,1.103206,14.078855,1.47137,1.8,1.601033,0.230254,2.102808,2273.03623,1,0.000106388,4.68E-08
2019-04-26T004136-685Z,7.2,0.380464,1.558659,3.645408,0.598372,14.915341,1.077415,1.741564,1.398162,0.212306,1.998313,2553.221809,1,0.00012934,5.07E-08
2019-04-26T171400-207Z,6.17,0.388554,1.76319,3.304653,1.831768,15.349503,1.082412,1.798425,1.711104,0.101535,1.989268,4492.726877,0,0.00019023,4.23E-08
2019-04-25T005119-127Z,5.11,0.388975,1.769804,5.11151,1.289711,15.8,1.419251,1.775729,1.221188,-0.355911,1.756569,3193.244661,0,0.000147556,4.62E-08
2019-04-26T202443-086Z,9.04,0.389166,1.797766,2.843959,1.72796,14.037087,1.619619,1.8,1.408085,0.009701,2.007804,2605.963713,0,0.000137514,5.28E-08
2019-04-24T232002-451Z,7.16,0.398126,1.628643,3.931202,0.898825,13.132321,1.20668,1.8,1.415442,0.226105,1.87628,3476.201009,1,0.000151467,4.36E-08
