Timestamp,Time Shift (s),Point 0 x [m],Point 0 y [m],Point 1 x [m],Point 1 y [m],Point 2 x [m],Point 2 y [m],Point 3 y [m],Walking Speed [m/s],Step width [m],Step frequency [Hz],Weight [N],Reverse Direction,Cost Function Value,Normalized Cost Func
2019-04-25T183627-057Z,3.66,0.697511,1.771802,3.020749,1.736598,14.024799,1.884149,1.8,1.235611,0.5,1.771458,2012.144369,0,0.000139092,6.91E-08
2019-04-25T175808-694Z,4.6,0.70371,1.762386,2.915614,1.660056,14.429225,1.648671,1.8,1.132045,0.174315,1.608681,2076.511861,0,0.000126052,6.07E-08
2019-04-25T194812-449Z,3.21,0.703888,1.695806,7.621966,0.695189,8.621966,0.668314,1.638969,1.28559,0.001624,1.826414,2397.582886,0,0.00013426,5.60E-08
2019-04-26T170440-045Z,8.11,0.704729,1.55,1.704729,1.13412,8.41,1.763142,1.8,1.253454,0.5,1.778632,3812.817859,1,0.000261099,6.85E-08
2019-04-25T210216-616Z,6.56,0.704731,1.571263,8.4,1.156068,15.761682,1.614426,1.8,1.302856,0.180227,1.84873,3202.371154,1,0.00015833,4.94E-08
2019-04-24T200650-288Z,7.89,0.709564,1.797409,2.505071,1.833112,15.156369,2.08714,1.8,1.398313,0.453601,1.970665,3195.287963,1,0.000163469,5.12E-08
2019-04-25T202915-810Z,7.54,0.714368,1.790088,2.901599,1.017723,13.972343,1.225761,1.8,1.417348,-0.001503,1.878072,3110.064272,1,0.000179239,5.76E-08
2019-04-25T212325-765Z,8.18,0.716331,1.55,2.14524,1.449139,13.591572,2.016627,1.8,1.32821,0.401287,1.854186,3233.155744,1,0.000195874,6.06E-08
2019-04-24T205531-441Z,7.49,0.718105,1.55,3.504238,1.005448,8.558886,0.867831,1.8,1.510473,-0.212828,2.103416,2536.738555,1,0.000119507,4.71E-08
2019-04-26T155756-013Z,4.49,0.719944,1.770502,2.034618,1.473303,15.8,1.406987,1.799733,1.436315,-0.317221,1.902725,3775.469032,0,0.000199577,5.29E-08
2019-04-25T171806-046Z,6.53,0.720481,1.55,3.644062,1.085691,13.05454,1.247002,1.8,1.33459,-0.203605,1.796624,3861.424902,1,0.000174914,4.53E-08
2019-04-24T222306-675Z-sp,4.87,0.720736,1.569827,3.594933,1.319221,15.635518,1.591286,1.8,1.502048,0.004989,2.084047,2376.419888,0,0.000151475,6.37E-08
2019-04-24T200533-067Z,6.62,0.724808,1.55,1.93986,1.147809,14.035514,1.709988,1.8,1.495777,-0.021777,2.063687,2642.067214,1,0.000129275,4.89E-08
2019-04-26T165335-181Z,4.94,0.725973,1.741194,2.703312,1.510803,14.686082,0.738692,1.73391,1.518672,-0.004816,2.091913,2320.045473,0,0.00011708,5.05E-08
2019-04-26T171108-140Z,7.03,0.727667,1.789088,2.296973,1.471733,14.714579,1.112069,1.8,1.445912,0.145649,1.974194,3417.896893,0,0.000162259,4.75E-08
2019-04-24T203220-741Z,4.86,0.728182,1.55,3.446215,1.33122,15.400767,1.094894,1.79451,1.506771,-0.032022,2.069223,2716.220861,0,0.000116354,4.28E-08
2019-04-24T220222-084Z,6.24,0.730907,1.837655,2.271453,1.550682,14.655357,1.575669,1.8,1.367223,0.125601,1.870584,3461.142023,1,0.00015853,4.58E-08
2019-04-25T215935-885Z,6.75,0.731475,1.552734,5.275829,1.061687,15.8,1.56851,1.8,1.7336,-0.179961,2.097673,3530.644871,1,0.000147975,4.19E-08
2019-04-26T181554-093Z,7.12,0.734353,1.55,2.453985,1.031117,14.373161,1.491818,1.8,1.550751,-0.151929,2.111723,2361.391424,1,0.000100165,4.24E-08
2019-04-25T165416-897Z,7.64,0.73488,1.70722,2.222173,1.128373,13.916354,1.073105,1.8,1.336541,0.151177,1.808767,3334.161032,1,0.000133722,4.01E-08
2019-04-24T233550-662Z,7.88,0.73508,1.584965,3.720803,0.866374,11.499481,2.050131,1.8,1.649813,-0.368377,2.131685,2495.209933,1,0.000139265,5.58E-08
2019-04-26T174920-369Z-sp,1.67,0.737529,1.7384,4.712659,1.171832,15.187516,1.134058,1.733406,1.444703,0.139909,1.958842,3292.053364,0,0.000179621,5.46E-08
2019-04-24T220204-399Z,5.34,0.739409,1.791062,2.618738,1.584035,14.797697,1.396147,1.8,1.400556,0.060835,1.867437,3308.480249,0,0.00017721,5.36E-08
2019-04-26T010826-341Z,7.39,0.739935,1.794973,1.795043,1.26742,13.302954,1.953847,1.8,1.465713,-0.159658,1.980866,2963.677417,1,0.00016464,5.56E-08
2019-04-25T203812-375Z,4.92,0.739951,1.71777,4.940583,1.224245,11.017116,0.908127,1.799073,1.343575,0.11249,1.815762,2518.986968,0,0.000118587,4.71E-08
2019-04-25T234632-386Z,7.84,0.740277,1.55,6.558656,0.243705,13.194237,1.029556,1.8,1.410405,0.027591,1.832604,4130.909733,1,0.000183563,4.44E-08
2019-04-24T205322-715Z,8.21,0.741056,1.55,3.685895,1.247916,14.236936,1.77689,1.8,1.469656,-0.20649,1.983193,2681.961543,1,0.00012855,4.79E-08
2019-04-25T181720-321Z,5.58,0.742545,1.791444,2.938279,1.586759,14.02849,1.459521,1.8,1.36118,-0.009173,1.832998,2495.628198,0,0.000230284,9.23E-08
2019-04-26T193125-483Z,5.15,0.742949,1.754732,2.469187,1.405628,15.549319,1.190429,1.789938,1.391003,-0.005305,1.841363,2814.435151,0,0.000158353,5.63E-08
2019-04-25T230018-300Z,6.21,0.745823,1.797722,2.42985,1.658636,14.897306,0.92139,1.8,1.546573,-0.059595,1.963899,2759.678407,0,0.000144267,5.23E-08
2019-04-25T191916-743Z,5.36,0.748323,2.05,7.882221,1.243095,15.360276,1.383771,1.8,1.450903,0.10372,1.938873,2831.474693,0,0.000139436,4.92E-08
2019-04-25T151901-644Z,6.88,0.749146,1.55,4.06965,0.641346,13.611174,0.91855,1.8,1.367213,0.066482,1.825029,3599.09556,1,0.000223488,6.21E-08
2019-04-26T234816-554Z,11.98,0.75019,1.805049,2.370993,1.656206,14.034189,1.726224,1.8,1.51665,-0.034156,2.021688,2298.543758,1,0.000115658,5.03E-08
2019-04-24T213841-812Z,5.27,0.750962,1.666978,3.619576,1.543624,15.8,1.586283,1.8,1.482244,-0.214878,1.973795,2483.16759,0,0.000137902,5.55E-08
2019-04-26T232416-980Z,8.72,0.751734,1.55,3.624482,0.91962,14.488085,1.52331,1.8,1.573612,-0.030619,2.093309,1690.022989,1,0.000101483,6.00E-08
2019-04-26T161111-301Z,11.99,0.752817,1.55,5.457653,0.610062,10.485393,1.555396,1.8,1.41345,-0.268436,1.875819,4436.085334,1,0.000195974,4.42E-08
2019-04-25T210038-521Z-sp,2.12,0.752974,1.71001,3.088132,1.633793,10.120654,0.909541,1.8,1.418737,0.112963,1.884176,3303.580152,0,0.000179122,5.42E-08
2019-04-24T201054-341Z,6.62,0.754601,1.55,3.936732,0.680484,15.659929,1.038658,1.595859,1.400853,0.096904,1.856415,4095.776271,1,0.000215845,5.27E-08
2019-04-24T233103-511Z,5.03,0.756277,1.75168,3.103168,1.793984,15.49841,1.377047,1.8,1.661735,-0.229747,2.197257,2466.161422,0,0.000136925,5.55E-08
2019-04-25T182332-256Z,7.95,0.757505,1.96332,3.502927,0.755308,13.01397,1.395101,1.8,1.722037,-0.290689,2.2733,3375.220702,1,0.000153455,4.55E-08
2019-04-24T200834-778Z,5.4,0.765692,1.552328,7.524083,0.444933,15.616257,1.418981,1.793263,1.544857,-0.078831,1.921766,2807.160607,0,0.000129181,4.60E-08
2019-04-24T204157-508Z,6.59,0.777764,1.817168,4.192658,2.089128,15.420724,1.22322,1.79305,1.564814,-0.022542,2.011939,3343.303859,0,0.000180319,5.39E-08
2019-04-26T201724-076Z,10.76,0.778444,1.55,4.762562,1.333626,15.469042,1.096049,1.761528,1.693279,0.071351,2.17521,2291.987129,0,0.000103654,4.52E-08
2019-04-25T184022-689Z,5.44,0.782523,1.767537,2.899774,1.665267,15.557178,1.167677,1.789088,1.63525,-0.010092,2.089714,2570.149249,0,0.000132008,5.14E-08
2019-04-26T210351-519Z,7.7,0.783133,1.787915,3.059086,1.943825,13.923437,1.770489,1.8,1.634484,0.212356,2.071315,1966.854858,0,0.000142162,7.23E-08
2019-04-26T190009-797Z,1.19,0.783142,1.721261,2.720987,1.58631,15.8,1.370625,1.79169,1.534108,0.181598,1.958916,3772.732742,0,0.000190261,5.04E-08
2019-04-26T173631-659Z,5.13,0.784311,1.778388,3.227509,1.743784,15.364289,1.081917,1.799772,1.491366,0.107361,1.901498,3743.041248,0,0.000202579,5.41E-08
2019-04-24T224908-537Z,7.19,0.785701,1.55,4.061602,1.326072,13.583352,1.573977,1.8,1.55203,-0.244861,1.975343,3425.443755,1,0.000165508,4.83E-08
2019-04-25T181638-474Z,2.94,0.78704,1.813553,3.872861,1.219831,15.313974,1.237407,1.766193,1.507069,-0.129843,1.914856,2800.737313,0,0.000126828,4.53E-08
2019-04-24T215743-734Z,4.08,0.788495,1.773145,2.927241,1.729935,14.284052,1.322308,1.8,1.393122,0.079873,1.766811,2350.784618,0,0.00010755,4.58E-08
2019-04-25T213431-008Z,6.55,0.789957,1.55,6.034264,1.097974,14.869963,1.690793,1.8,1.332047,-0.18201,1.686227,3679.188364,1,0.000164423,4.47E-08
2019-04-24T213522-488Z-sp,7.56,0.790797,1.55,2.341799,1.256543,14.201605,1.489544,1.8,1.329371,-0.218203,1.681051,4878.891425,1,0.000247288,5.07E-08
2019-04-25T210625-648Z,6.29,0.795071,1.55,4.625257,0.586082,13.974533,1.561125,1.8,1.446189,-0.103195,1.818944,2538.525344,1,0.000127453,5.02E-08
2019-04-24T220635-946Z,7.64,0.795186,1.643575,8.4,0.966802,14.149044,1.201406,1.8,1.384252,-0.190844,1.74079,3188.2279,1,0.000139733,4.38E-08
2019-04-24T215246-495Z,7.75,0.795954,1.55,3.892478,0.862959,15.079283,1.448629,1.799995,1.4115,-0.201873,1.773345,3886.139447,1,0.000182538,4.70E-08
2019-04-25T185927-846Z,5.35,0.801331,1.55,2.72848,1.462842,15.696478,1.235172,1.720815,1.712871,-0.049769,2.137532,2812.637116,0,0.000135549,4.82E-08
2019-04-25T200431-930Z,10.6,0.803395,1.696674,2.496126,1.606852,15.723862,1.332783,1.8,1.47659,-0.044941,1.837938,3477.757774,0,0.000155388,4.47E-08
2019-04-25T220334-121Z,7.4,0.805574,1.55,5.08321,0.341424,8.41,1.151056,1.8,1.367368,0.14888,1.697384,3189.002039,1,0.000196942,6.18E-08
2019-04-25T003222-051Z,5.36,0.807003,1.785895,2.938428,1.745147,14.974095,0.889553,1.792292,1.515159,-0.040587,1.877513,2879.557672,0,0.000159812,5.55E-08
2019-04-24T220143-426Z,8.25,0.812128,1.587968,7.027769,0.966589,15.751888,1.463918,1.778077,1.471162,-0.074802,1.811491,4461.247416,1,0.000202744,4.54E-08
2019-04-24T214952-833Z,6.67,0.812435,1.791094,3.137487,0.961124,14.166321,0.46354,1.778066,1.508456,0.02388,1.846458,3767.48002,0,0.000201184,5.34E-08
2019-04-25T200516-797Z,6.58,0.820816,1.796052,2.886007,1.895224,14.025917,1.729014,1.8,1.506838,-0.054405,1.817427,3358.132393,0,0.00022708,6.76E-08
2019-04-25T210107-746Z,1.62,0.823893,1.55,5.737772,0.611881,14.000734,0.252555,1.652188,1.540867,0.168459,1.870228,3363.455653,1,0.000147944,4.40E-08
2019-04-24T215849-920Z,6.81,0.824788,1.767118,2.993875,1.417439,14.306797,1.37598,1.8,1.405592,0.144197,1.704187,2244.096322,1,0.000130126,5.80E-08
2019-04-25T230628-467Z,5.23,0.825083,1.77999,2.6,1.545492,15.8,1.395997,1.8,1.597341,-0.045451,1.935977,3124.016449,0,0.000163677,5.24E-08
2019-04-26T011021-948Z,6.23,0.826916,2.039787,2.675815,1.926095,14.378452,1.982758,1.8,1.674,-0.136509,2.02439,3236.869221,0,0.000169022,5.22E-08
2019-04-26T003622-160Z,8.22,0.830515,1.55,3.278484,1.115741,15.219597,1.453642,1.8,1.564745,0.096159,1.884066,4212.044722,1,0.000192389,4.57E-08
2019-04-24T232457-826Z,4.21,0.835699,1.605981,5.001874,1.302437,15.8,1.336756,1.755809,1.555519,-0.173437,1.861339,3090.982877,0,0.000162504,5.26E-08
2019-04-25T163126-341Z,6.3,0.839978,1.697971,6.114489,1.323395,15.560012,1.442533,1.747327,1.596489,-0.064377,1.900633,3213.321748,0,0.000150222,4.67E-08
2019-04-25T184948-227Z,5.34,0.849631,1.606007,4.807603,1.466013,15.708934,1.503967,1.8,1.600813,-0.006326,1.884128,2577.399439,0,0.000154605,6.00E-08
2019-04-25T003954-492Z,5.82,0.852461,1.787417,2.85569,1.888457,14.121326,1.648826,1.8,1.618187,-0.365846,1.898252,3447.833333,0,0.000191254,5.55E-08
2019-04-24T212827-236Z,8.11,0.853377,1.645565,1.853377,1.145565,13.459411,1.362066,1.8,1.662154,-0.038932,1.796398,2661.518134,1,0.000150396,5.65E-08
2019-04-25T163952-419Z,7.21,0.856178,2.05,3.407656,2.034637,15.121522,1.198929,1.774028,1.606834,-0.112017,1.876753,3046.632162,0,0.000131462,4.31E-08
2019-04-26T231941-243Z,2.58,0.861185,1.804351,2.502029,1.971911,13.916529,1.889023,1.8,1.617227,0.01735,1.875035,2600.133206,1,0.000158584,6.10E-08
2019-04-25T225124-452Z-sp,2.69,0.861526,1.807761,2.833102,1.919787,13.842446,1.84834,1.8,1.642791,0.071382,1.906839,3566.76726,0,0.000185053,5.19E-08
2019-04-25T170143-714Z,7.76,0.862911,1.794923,2.936871,1.658331,14.050535,1.398577,1.8,1.646071,0.017759,1.907541,2932.688089,0,0.000215788,7.36E-08
2019-04-26T004423-242Z,4.78,0.867357,1.754479,4.006156,1.362291,15.780676,1.73573,1.8,1.633588,0.149406,1.883408,4206.249028,0,0.000207493,4.93E-08
2019-04-25T163903-947Z,8.06,0.890243,1.55,8.4,1.419558,13.454199,0.969522,1.8,1.774161,0.05257,1.992895,3231.879322,1,0.000110314,3.41E-08
2019-04-25T211705-129Z,8.1,0.896258,1.567713,8.4,0.494486,13.830408,0.805879,1.772519,1.955842,-0.214437,2.182232,3306.808862,1,0.000151277,4.57E-08
2019-04-25T200246-249Z,6.19,1,1.763889,3.406199,1.844029,15.8,1.489169,1.8,1.891335,0.134673,1.672425,3318.4834,0,0.000179625,5.41E-08
